course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
BIOM-304,Anatomy and Physiology,1,B-,Senior,Spring,Senior (Spring),Senior (Spring) | B-
BIOM-350A,Behavioral and Cognitive Neuroscience,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
BIOM-350A,Exercise Science,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
BIOM-350B,Anatomy and Physiology,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BIOM-350C,Anatomy and Physiology,2,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BMS-200,Anatomy and Physiology,70,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Behavioral and Cognitive Neuroscience,13,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Cell and Molecular Neuroscience,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Environmental and Public Health,6,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Exercise Science,96,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Health Promotion,18,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Microbiology and Infectious Disease,4,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-200,Other,3,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
BMS-260,Anatomy and Physiology,252,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
BMS-260,Exercise Science,9,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
